critical
2101,3
5.97,52.81,4.621
5.98,52.86,4.647
5.99,52.9,4.673
6,52.95,4.698
6.01,53,4.725
6.02,53.05,4.75
6.03,53.09,4.775
6.04,53.14,4.8
6.05,53.19,4.824
6.06,53.24,4.848
6.07,53.29,4.873
6.08,53.34,4.896
6.09,53.38,4.919
6.1,53.43,4.942
6.11,53.48,4.965
6.12,53.53,4.988
6.13,53.58,5.011
6.14,53.63,5.032
6.15,53.68,5.054
6.16,53.73,5.076
6.17,53.79,5.097
6.18,53.84,5.118
6.19,53.89,5.139
6.2,53.94,5.159
6.21,53.99,5.18
6.22,54.04,5.2
6.23,54.1,5.22
6.24,54.15,5.239
6.25,54.2,5.257
6.26,54.25,5.277
6.27,54.31,5.296
6.28,54.36,5.314
6.29,54.41,5.332
6.3,54.47,5.35
6.31,54.52,5.368
6.32,54.57,5.386
6.33,54.63,5.403
6.34,54.68,5.42
6.35,54.73,5.436
6.36,54.79,5.453
6.37,54.84,5.469
6.38,54.9,5.485
6.39,54.95,5.5
6.4,55.01,5.515
6.41,55.06,5.531
6.42,55.12,5.546
6.43,55.17,5.561
6.44,55.23,5.575
6.45,55.29,5.589
6.46,55.34,5.603
6.47,55.4,5.617
6.48,55.45,5.631
6.49,55.51,5.644
6.5,55.57,5.656
6.51,55.62,5.67
6.52,55.68,5.682
6.53,55.74,5.695
6.54,55.79,5.706
6.55,55.85,5.718
6.56,55.91,5.73
6.57,55.97,5.741
6.58,56.02,5.753
6.59,56.08,5.763
6.6,56.14,5.773
6.61,56.2,5.784
6.62,56.25,5.795
6.63,56.31,5.804
6.64,56.37,5.814
6.65,56.43,5.823
6.66,56.49,5.833
6.67,56.55,5.842
6.68,56.6,5.851
6.69,56.66,5.859
6.7,56.72,5.867
6.71,56.78,5.875
6.72,56.84,5.883
6.73,56.9,5.891
6.74,56.96,5.898
6.75,57.02,5.905
6.76,57.07,5.912
6.77,57.13,5.919
6.78,57.19,5.926
6.79,57.25,5.932
6.8,57.31,5.938
6.81,57.37,5.944
6.82,57.43,5.95
6.83,57.49,5.955
6.84,57.55,5.96
6.85,57.61,5.965
6.86,57.67,5.97
6.87,57.73,5.974
6.88,57.79,5.979
6.89,57.85,5.983
6.9,57.91,5.986
6.91,57.97,5.99
6.92,58.03,5.994
6.93,58.09,5.997
6.94,58.15,6
6.95,58.21,6.002
6.96,58.27,6.005
6.97,58.33,6.008
6.98,58.39,6.01
6.99,58.45,6.012
7,58.51,6.013
7.01,58.57,6.015
7.02,58.63,6.016
7.03,58.69,6.018
7.04,58.75,6.018
7.05,58.81,6.019
7.06,58.87,6.02
7.07,58.93,6.02
7.08,58.99,6.02
7.09,59.05,6.02
7.1,59.11,6.019
7.11,59.17,6.019
7.12,59.23,6.018
7.13,59.29,6.017
7.14,59.35,6.016
7.15,59.41,6.015
7.16,59.47,6.013
7.17,59.53,6.012
7.18,59.59,6.01
7.19,59.65,6.008
7.2,59.71,6.005
7.21,59.77,6.003
7.22,59.83,6
7.23,59.89,5.997
7.24,59.95,5.994
7.25,60.01,5.991
7.26,60.07,5.987
7.27,60.13,5.984
7.28,60.19,5.98
7.29,60.25,5.976
7.3,60.31,5.971
7.31,60.37,5.967
7.32,60.43,5.962
7.33,60.49,5.957
7.34,60.55,5.952
7.35,60.61,5.947
7.36,60.67,5.942
7.37,60.73,5.936
7.38,60.79,5.93
7.39,60.85,5.924
7.4,60.91,5.918
7.41,60.96,5.912
7.42,61.02,5.905
7.43,61.08,5.899
7.44,61.14,5.892
7.45,61.2,5.885
