 ASCII output data for Electronics Workbench circuit lpf2.ewb
        Time           V1           V2           V3           V4
       0.234        6.341      6.01092      5.75453      5.60567
      0.2345       6.3441      6.01281      5.75723      5.60936
       0.235       6.3503      6.01482      5.75993      5.61303
      0.2355      6.35216      6.01685      5.76263      5.61668
       0.236      6.35216      6.01885      5.76534      5.62031
      0.2365      6.34782      6.02071      5.76806      5.62391
       0.237      6.34968      6.02259      5.77077      5.62749
      0.2375       6.3534      6.02453      5.77349      5.63106
       0.238      6.35774      6.02655       5.7762       5.6346
      0.2385       6.3534      6.02844      5.77892      5.63812
       0.239      6.35774       6.0304      5.78164      5.64162
      0.2395      6.36642      6.03255      5.78436       5.6451
        0.24      6.37014      6.03474      5.78709      5.64856
      0.2405      6.37634      6.03704      5.78983      5.65201
       0.241       6.3782      6.03934      5.79257      5.65543
      0.2415      6.38254      6.04171      5.79532      5.65885
       0.242      6.38936      6.04418      5.79807      5.66224
      0.2425      6.39865      6.04683      5.80084      5.66562
       0.243      6.40548      6.04958      5.80362      5.66899
      0.2435      6.41353      6.05245      5.80642      5.67234
       0.244      6.42221      6.05547      5.80924      5.67568
      0.2445      6.42903      6.05856      5.81208      5.67901
       0.245      6.43213      6.06166      5.81493      5.68232
      0.2455      6.43709      6.06479       5.8178      5.68563
       0.246      6.44701      6.06808      5.82069      5.68892
      0.2465      6.45321      6.07143       5.8236       5.6922
       0.247      6.45631      6.07476      5.82653      5.69548
      0.2475      6.45569      6.07799      5.82947      5.69875
       0.248      6.45569      6.08114      5.83243      5.70201
      0.2485      6.45631      6.08422       5.8354      5.70526
       0.249      6.45569      6.08721      5.83837      5.70851
